,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
3285,71,122,-8.74,-3.76,0.035,-0.016,0.0,5.5009999999999994,9.542,10.338999999999999,23.298000000000002,True
3286,71,123,-4.66,-4.37,0.026,-0.012,0.0,3.9909999999999997,9.491999999999999,10.779,23.758,True
3287,71,124,-1.82,-4.92,0.018,-0.009,0.0,5.231,9.222,10.818999999999999,24.247999999999998,True
3288,71,125,2.44,-5.6,0.008,0.0,-0.002,3.811,9.042,11.249,24.708,True
3289,71,126,5.49,-6.2,0.003,0.0,0.0,5.020999999999999,8.831999999999999,11.269,25.158,True
3290,71,127,11.95,-4.91,0.009,0.006,0.0,1.6110000000000007,6.632,11.699,25.598,True
3291,71,128,16.97,-3.79,0.019,0.016,0.003,3.051,4.662000000000001,11.699,26.028000000000002,True
3292,71,129,23.28,-2.88,0.029,0.026,0.011,1.7609999999999975,4.811999999999998,12.109,26.428,True
3293,71,130,28.33,-1.97,0.034,0.023,0.002,3.0210000000000026,4.782,12.059000000000003,26.768000000000004,True
3294,71,131,34.66,-1.28,0.042,0.026,0.002,1.7410000000000014,4.762000000000004,12.529000000000002,27.268000000000004,True
3295,71,132,39.54,-0.77,0.053,0.042,0.01,3.190999999999997,4.931999999999999,12.459000000000001,27.558000000000003,True
3296,71,133,45.88,-0.29,0.059,0.042,0.007,1.7309999999999963,4.9219999999999935,12.818999999999994,27.837999999999997,True
3297,71,134,50.98,0.21,0.063,0.037,0.0,2.9710000000000054,4.702000000000002,12.799000000000005,28.158000000000005,True
3298,71,135,57.35,0.51,0.071,0.04,0.001,1.7009999999999952,4.672000000000001,13.158999999999997,28.467999999999993,True
3299,71,136,62.49,0.82,0.081,0.048,-0.003,2.930999999999999,4.631999999999994,13.089000000000004,28.807999999999996,True
3300,71,137,68.93,0.96,0.088,0.05,-0.001,1.630999999999995,4.561999999999994,13.428999999999986,29.11799999999999,True
3301,71,138,74.02,1.02,0.095,0.051,-0.003,2.9810000000000105,4.612000000000005,13.41900000000001,29.498,True
3302,71,139,80.5,1.0,0.1,0.052,-0.005,1.5909999999999958,4.572000000000006,13.808999999999996,29.897999999999993,True
3303,71,140,85.73,0.99,0.111,0.048,-0.011,2.8409999999999958,4.4319999999999915,13.789,30.218,True
3304,71,141,92.33,0.88,0.11,0.049,-0.009,1.4710000000000054,4.312000000000001,14.159000000000004,30.588000000000005,True
3305,71,142,97.65,0.75,0.118,0.041,-0.016,2.7509999999999923,4.221999999999998,14.149,30.94799999999999,True
